Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2005,Total,45–54,Total,Total,Total,Total,Total,Total,Total,129,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,45–54,Total,Total,Total,Total,Total,Total,Total,124,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,45–54,Total,Total,Total,Total,Total,Total,Total,121,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,45–54,Total,Total,Total,Total,Total,Total,Total,118,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,45–54,Total,Total,Total,Total,Total,Total,Total,114,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,45–54,Total,Total,Total,Total,Total,Total,Total,111,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,45–54,Total,Total,Total,Total,Total,Total,Total,104,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,45–54,Total,Total,Total,Total,Total,Total,Total,101,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,45–54,Total,Total,Total,Total,Total,Total,Total,101,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,45–54,Total,Total,Total,Total,Total,Total,Total,101,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,45–54,Total,Total,Total,Total,Total,Total,Total,101,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,45–54,Total,Total,Total,Total,Total,Total,Total,96,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,45–54,Total,Total,Total,Total,Total,Total,Total,94,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,45–54,Total,Total,Total,Total,Total,Total,Total,94,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,55–64,Total,Total,Total,Total,Total,Total,Total,141,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,55–64,Total,Total,Total,Total,Total,Total,Total,139,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,55–64,Total,Total,Total,Total,Total,Total,Total,131,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,55–64,Total,Total,Total,Total,Total,Total,Total,128,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,55–64,Total,Total,Total,Total,Total,Total,Total,124,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,55–64,Total,Total,Total,Total,Total,Total,Total,120,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,55–64,Total,Total,Total,Total,Total,Total,Total,117,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,55–64,Total,Total,Total,Total,Total,Total,Total,117,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,55–64,Total,Total,Total,Total,Total,Total,Total,113,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,55–64,Total,Total,Total,Total,Total,Total,Total,106,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,55–64,Total,Total,Total,Total,Total,Total,Total,103,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,55–64,Total,Total,Total,Total,Total,Total,Total,104,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,55–64,Total,Total,Total,Total,Total,Total,Total,104,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,55–64,Total,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,55–64,Total,Total,Total,Total,Total,Total,Total,103,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,55–64,Total,Total,Total,Total,Total,Total,Total,101,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,55–64,Total,Total,Total,Total,Total,Total,Total,100,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,65–74 ,Total,Total,Total,Total,Total,Total,Total,205,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,65–74 ,Total,Total,Total,Total,Total,Total,Total,200,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,65–74,Total,Total,Total,Total,Total,Total,Total,192,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,65–74,Total,Total,Total,Total,Total,Total,Total,186,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,65–74,Total,Total,Total,Total,Total,Total,Total,171,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,65–74,Total,Total,Total,Total,Total,Total,Total,169,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,65–74,Total,Total,Total,Total,Total,Total,Total,164,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,65–74,Total,Total,Total,Total,Total,Total,Total,169,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,65–74,Total,Total,Total,Total,Total,Total,Total,147,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,65–74,Total,Total,Total,Total,Total,Total,Total,123,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,65–74,Total,Total,Total,Total,Total,Total,Total,118,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,65–74,Total,Total,Total,Total,Total,Total,Total,120,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,65–74,Total,Total,Total,Total,Total,Total,Total,124,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,65–74,Total,Total,Total,Total,Total,Total,Total,122,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,65–74,Total,Total,Total,Total,Total,Total,Total,117,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,65–74,Total,Total,Total,Total,Total,Total,Total,113,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,65–74,Total,Total,Total,Total,Total,Total,Total,111,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,563,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,466,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,441,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,529,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,523,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,467,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,494,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,476,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,291,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,180,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,179,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,185,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,177,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,198,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,200,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,194,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,75 and over,Total,Total,Total,Total,Total,Total,Total,196,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,Total,Northland,Total,Total,Total,Total,Total,Total,195,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,Total,Northland,Total,Total,Total,Total,Total,Total,189,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,Total,Northland,Total,Total,Total,Total,Total,Total,189,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,Total,Northland,Total,Total,Total,Total,Total,Total,164,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,Total,Northland,Total,Total,Total,Total,Total,Total,160,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,Total,Northland,Total,Total,Total,Total,Total,Total,150,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,Total,Northland,Total,Total,Total,Total,Total,Total,152,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,Total,Northland,Total,Total,Total,Total,Total,Total,151,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,Total,Northland,Total,Total,Total,Total,Total,Total,151,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,Total,Northland,Total,Total,Total,Total,Total,Total,142,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,Total,Northland,Total,Total,Total,Total,Total,Total,138,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,Total,Northland,Total,Total,Total,Total,Total,Total,139,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,Total,Northland,Total,Total,Total,Total,Total,Total,138,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,Total,Northland,Total,Total,Total,Total,Total,Total,137,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,Total,Northland,Total,Total,Total,Total,Total,Total,133,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,Total,Northland,Total,Total,Total,Total,Total,Total,129,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,Total,Northland,Total,Total,Total,Total,Total,Total,133,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,119,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,116,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,114,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,114,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,107,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,100,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,98,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,98,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,91,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,91,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,91,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,91,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,93,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,90,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,87,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,86,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,163,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,156,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,155,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,155,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,148,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,149,Incidence rate per 1000 full-time equivalent employees,Final
